
Analysis complete for Tbi-ARos_001_Ex1b_L4_1.fq.gz
Started analysis of Tbi-ARos_001_Ex1b_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_018_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_020_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_020_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_022_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_022_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_023_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_023_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_025_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_025_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_026_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_026_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_027_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_027_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_028_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_028_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_029_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 85% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 90% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Approx 95% complete for Tbi-CJos_029_Ex1_L4_2.fq.gz
Analysis complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Started analysis of Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 5% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 10% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 15% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 20% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 25% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 30% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 35% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 40% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 45% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 50% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 55% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 60% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 65% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 70% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 75% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 80% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 85% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 90% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Approx 95% complete for Tbi-CJos_030_Ex1_L4_1.fq.gz
Analysis complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Started analysis of Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 5% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 10% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 15% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 20% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 25% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 30% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 35% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 40% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 45% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 50% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 55% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 60% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 65% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 70% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 75% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
Approx 80% complete for Tbi-CJos_030_Ex1_L4_2.fq.gz
